CHAT_ID,SPEAKER_ID,TIME,TEXT
4,3,11:10:22.187,Moi
4,7,11:10:27.521,Tere!
4,3,11:10:46.830,Ootko nähnyt jotain hyviä leffoja viimeaikoina?
4,7,11:11:48.573,"Viimeksi taisin käydä keväällä, kun piti kuluttaa jouluna ostetut sarjaliput. Ainut mikä jäi mieleen oli Shoplifters"
4,3,11:12:31.667,"Hmm en oo kai kuullukaan tosta, millane leffa se oli?"
4,7,11:13:12.150,"Se oli japanilainen draama, missä tämmönen näpistelystä elävä uusperhe adoptoi kadulta löytämänsä tytön"
4,3,11:13:29.228,Aaiva
4,7,11:13:30.982,Se voitti kultaisen palmun tai jotain
4,7,11:14:03.120,En saa millään mieleen ohjaajan nimeä
4,7,11:14:22.960,Kore-eda oli sukunimi
4,3,11:14:44.612,Turhan vähän tulee katottua muuta kuin englanninkielistä leffatuotantoa. Tai sit toki suomalaista.
4,7,11:14:56.502,No minkäs sä oot nähny viimeks?
4,3,11:15:05.153,Viimeks kävin kattoo sen Joker
4,3,11:15:18.970,Mut emt ei se nyt niin säväyttäny
4,7,11:15:21.869,Se sai vissiin aika ristiriitaisen vastaanoton
4,3,11:15:25.760,Kova hype
4,7,11:15:40.805,Traileri oli toki näyttävä
4,3,11:15:50.432,"Mut kävin kattoo tossa Tarantinon uuden, siitä tykkäsin aika paljon"
4,3,11:16:00.559,Paljon enemmän ku Tarantinon kahdesta edellisestä
4,7,11:16:20.354,Se missä oli Pitti ja se sijottu Hollywoodiin?
4,3,11:16:22.179,"Ja myöskin se Almodovarin uusi, Kärsimys ja Kunnia tais olla"
4,3,11:16:32.034,Joo Pitt ja Mansonin kultti
6,4,11:10:33.919,Huhuu?
6,1,11:10:36.935,moikka
6,1,11:11:05.480,mistäs elokuvista keskusteltais?
6,4,11:11:22.442,"Öö, mitä olet viime aikona katsonut?"
6,1,11:11:50.909,en oikeastaan oo katsonu pitkään aikaan mitään :)
6,4,11:12:06.918,Sama juttu. :)
6,1,11:12:20.341,no sittenhän meillä on paljon keskusteltavaa
6,4,11:12:36.506,Olisko joku vanha leffa jäänyt mieleen?
6,1,11:12:59.051,ei kyllä tuu heti mieleen
6,1,11:13:05.566,sulla on varmaan joku klassikko mielessä? 
6,4,11:13:20.363,Uuno Turhapurot?
6,1,11:13:47.076,en oo kyllä nähny niitä mutta kerro toki mitä mieltä oot niistä
6,4,11:14:25.571,No entäs Chaplinin nykyaika tai diktaattori?
6,1,11:15:10.726,nuokaan ei kyllä kuulosta tutuilta
