CHAT_ID,SPEAKER_ID,GROUP,TOPIC,OFFTOPIC,Q1,Q2,Q3,Q4,Q5
7,0,1,movies,0,2,1,1,0,0
10,0,1,sports,0,2,1,1,0,0
6,1,1,movies,0,2,1,1,0,0
15,1,1,sports,0,2,1,1,0,0
7,5,1,movies,0,2,1,1,0,0
10,5,1,sports,0,2,1,1,0,0
9,2,1,movies,0,1,1,1,0,0
13,2,1,sports,0,1,1,1,0,0
4,3,1,movies,0,2,1,1,0,0
13,3,1,sports,0,1,1,1,0,0
4,7,1,movies,0,1,1,1,0,0
15,7,1,sports,0,1,1,1,0,0
9,6,1,movies,0,1,1,1,0,0
14,6,1,sports,0,1,1,1,0,0
6,4,1,movies,0,2,1,1,0,0
14,4,1,sports,0,1,1,1,0,0
19,22,1,food,0,1,1,1,2,2
17,16,1,food,0,1,1,1,2,3
16,19,1,food,0,1,1,1,2,3
19,17,1,food,0,1,1,1,1,3
16,18,1,food,0,1,1,1,3,3
18,20,1,food,0,1,1,1,3,3
17,21,1,food,0,2,1,1,3,1
18,15,1,food,0,1,1,1,3,3
20,22,1,music,0,1,1,1,3,3
23,17,1,music,0,1,1,1,3,3
23,16,1,music,0,1,1,1,3,3
20,20,1,music,0,1,1,1,3,3
22,18,1,music,0,1,1,1,3,3
22,21,1,music,0,1,1,2,1,1
21,15,1,music,0,1,1,1,3,3
21,19,1,music,0,1,1,1,3,3
26,16,1,tv,0,2,1,1,3,3
25,17,1,tv,0,1,1,1,3,3
25,21,1,tv,0,1,1,1,3,1
26,18,1,tv,0,1,1,1,3,2
24,19,1,tv,0,2,1,1,1,1
27,22,1,tv,literature,1,1,2,3,3
24,20,1,tv,0,1,1,1,3,2
27,15,1,tv,literature,1,1,2,3,3
30,28,1,sports,0,2,1,1,3,3
29,30,1,sports,0,1,1,1,3,3
31,31,1,sports,0,1,1,1,2,2
30,32,1,sports,0,2,1,1,3,3
29,27,1,sports,0,1,1,1,3,2
28,34,1,sports,0,1,1,1,3,3
28,29,1,sports,0,1,1,1,3,1
31,33,1,sports,0,1,1,1,1,3
32,30,1,traveling,0,1,1,1,3,3
33,28,1,traveling,0,1,1,1,3,3
34,34,1,traveling,0,2,1,1,2,2
33,27,1,traveling,0,1,1,1,3,3
35,33,1,traveling,0,1,1,1,1,3
35,31,1,traveling,0,1,1,1,2,1
34,33,1,traveling,0,1,1,1,1,1
32,29,1,traveling,0,1,1,1,3,2
39,30,1,literature,0,1,1,1,3,3
37,28,1,literature,0,1,1,1,3,3
36,33,1,literature,0,1,1,1,1,1
36,31,1,literature,0,2,1,1,3,3
39,32,1,literature,0,1,1,1,3,3
37,29,1,literature,0,1,1,1,3,3
38,27,1,literature,0,1,1,1,3,1
38,34,1,literature,0,1,1,1,3,1
41,40,1,sports,0,1,1,1,3,3
42,43,1,sports,0,1,1,1,3,3
40,44,1,sports,0,1,1,1,2,3
40,39,1,sports,0,1,1,1,1,1
42,41,1,sports,0,1,1,1,3,3
41,42,1,sports,0,1,1,1,3,3
45,40,1,traveling,0,2,1,1,2,3
44,42,1,traveling,0,1,1,1,2,2
43,44,1,traveling,0,1,1,1,3,3
45,43,1,traveling,0,1,1,1,1,1
44,39,1,traveling,0,2,1,1,3,3
43,41,1,traveling,0,2,1,1,3,3
47,39,1,movies,0,1,1,1,3,3
46,42,1,movies,0,1,1,1,3,3
